TeamName,Tag,CarNum
University of Guelph,8fc1a5d22db85d33eb3acd8d9b586184,0
Formula Buckeyes,6be2ce858c97e4f86be4682b3fab02f9,3
Bearcat Motorsports,07107bc510a1b2c6dbfced0327bd636f,4
RIT Formula SAE,9736619fb52132f7b94e01efd4dbeb45,8
Purdue Formula SAE,ebbc7cfea65e560d948524aabb806540,10
Virginia Motorsports,f711a6b7289806f5e83ade6388252100,12
Pack Motorsports,bbef66da516755e806f37851cbd0cbac,14
Villanova University,51bad3fec307d4d0028d25b4c53704a5,16
Kennesaw Motorsports,c18590c8c575b4d9a7b5b5f8c91c01ed,18
Zips Racing Electric,de558891e409019d530f64877bf8eab4,24
University of Toronto Formula Racing Alumni,1b7338eb708f244e284cf0579296d812,26
Ravens Racing,fa875f7a964587022a8bd6ef1ace63e2,27
York College of Pennsylvania,56a7f296a8a470eb81d8d503a13a7ad3,42
University of Maryland,a47e0b4def19d3e25e9d58ed14f03441,49
Clemson Formula SAE,72b0c5b29cfb7dd9e55a94e91c1a3f7e,53
University Of Illinois at Chicago,1a75c6e5f2ea37a0952b0ca581cdc016,60
Mountaineer Racing- WVU,466f61fe0fff8649ce9c5384e7c7514c,64
UMD Racing,07aac2c2f4dee14f60db60fc1388355e,66
Clarkson Formula Knights,78418f0223b26dffdc3a2346d8121350,69
Wayne State University - Warrior Racing,dee13363c25ec26f3bb3c68b9114b787,71
Rocket Motorsports,e71d81e63be379e753fe2356c7790bf1,95
Lawrence Tech - Blue Devil Motorsports,b266d2f0bed2eef5668563e04c313387,108
Temple Formula Racing,a6e93a2db106424d5a52f92071c3eb29,109
Oakland University,0a2827915167ad25f5c2ea37573f4ae6,111
Lehigh University,0dc04d2e702bf9b5f80b3e100bc86a7a,114
UConn Formula SAE,415ca15f2d0040449ae067c11c0824ca,127
University of Ottawa,6a29e57976f3171cb6f901ef559457d3,131
State Racing IC,babf17f0be8800852dbb57e5eab3915e,153
Formule ETS,8135258cbdf5600f0d8a1575a06624e3,201
Carnegie Mellon Racing,f9981adc36dc585b6e8c197e1c867d24,202
RIT Formula SAE,0fba80e35e81300df4ec2de19ea61a2a,204
Kennesaw Motorsports EV,a805720f3b1e9943064faf56b5836485,206
Panther Racing,0244762ea53160ef7b7ed0023f80e662,231
University of Waterloo Formula Electric,691238279941d82b2b7ea391c24808f7,277
Western Formula Racing,d884248c3b8fb169c263a6ce82f79585,283
Nittany Motorsports,214fdf643e0428fc0fd7def4217f993e,285
Western Michigan University,2815fb07c0c333b3b94b3d5ea7469c95,287
University of Akron Zips Racing Combustion,da9bb3ff07e52e12b58f03a4dbfc56d7,300
