TeamName,Location,Tag,CarNum,Cones,OffCourses,Dnfs,RawTime,AdjTime
UQ Racing Formula SAE Team,St Lucia  QL,8fc1a5d22db85d33eb3acd8d9b586184,0,,,,,
Running Snail Racing Team,Amberg,6be2ce858c97e4f86be4682b3fab02f9,3,,,dnf,63.34,
UC Davis Formula Racing,Davis  CA,07107bc510a1b2c6dbfced0327bd636f,4,3,,,62.54,
Panther Motorsports,Miami  FL,9736619fb52132f7b94e01efd4dbeb45,8,4,,,61.99,
NED Racers,Karachi  Pakistan,ebbc7cfea65e560d948524aabb806540,10,,2,,61.89,
UBRacing,Birmingham  UK,f711a6b7289806f5e83ade6388252100,12,1,,,59.77,
CalBaptist Racing,Riverside  CA,bbef66da516755e806f37851cbd0cbac,14,,,DNF,62.42,
Cardiff Racing,Cardiff  UK,51bad3fec307d4d0028d25b4c53704a5,16,4,,,,
Waterloo Formula Electric,Waterloo  ON,c18590c8c575b4d9a7b5b5f8c91c01ed,18,,,dnf,58.43,
Michigan State Formula Racing,East Lansing  MI,de558891e409019d530f64877bf8eab4,24,,,dnf (u),61.4,
Purdue Formula SAE,W. Lafayette  IN,1b7338eb708f244e284cf0579296d812,26,,,,63.64,
Queen's Formula SAE,Kingston  ON,fa875f7a964587022a8bd6ef1ace63e2,27,,,,59.07,
Team Swinburne,Melbourne,56a7f296a8a470eb81d8d503a13a7ad3,42,,,,59.08,
Husky Formula Racing,St. Could  MN,a47e0b4def19d3e25e9d58ed14f03441,49,,,,59,
UNI Maribor GPE,Maribor,72b0c5b29cfb7dd9e55a94e91c1a3f7e,53,,,,60.27,
EESC USP Formula SAE,São Carlos  Brazil,1a75c6e5f2ea37a0952b0ca581cdc016,60,,,,59.93,
UOW Motorsport,Wollongong,466f61fe0fff8649ce9c5384e7c7514c,64,,,,59.86,
Joanneum Racing Graz,Graz  Austria,07aac2c2f4dee14f60db60fc1388355e,66,,,,63.39,
DJS Racing,Mumbai,78418f0223b26dffdc3a2346d8121350,69,,,,58.35,
TEIWM Racing Team,Kozani,dee13363c25ec26f3bb3c68b9114b787,71,,,,59.52,
CSUF Titan Racing,Fullerton  CA,e71d81e63be379e753fe2356c7790bf1,95,,,,60.5,
GT Motorsports,Atlanta  GA,b266d2f0bed2eef5668563e04c313387,108,,,,62.64,
Curtin University,Perth,a6e93a2db106424d5a52f92071c3eb29,109,,,,62.33,
